S.No,City,State,Alias,,,,
1,Mumbai,Maharashtra,Bombay,,,,
2,Delhi,Delhi,,,,,
3,Bengaluru,Karnataka,Bangalore,,,,
4,Ahmedabad,Gujarat,,,,,
5,Hyderabad,Telangana,,,,,
6,Chennai,Tamil Nadu,Madras,,,,
7,Kolkata,West Bengal,,,,,
8,Pune,Maharashtra,,,,,
9,Jaipur,Rajasthan,,,,,
10,Surat,Gujarat,,,,,
11,Lucknow,Uttar Pradesh,,,,,
12,Kanpur,Uttar Pradesh,,,,,
13,Nagpur,Maharashtra,,,,,
14,Patna,Bihar,,,,,
15,Indore,Madhya Pradesh,,,,,
16,Thane,Maharashtra,,,,,
17,Bhopal,Madhya Pradesh,,,,,
18,Visakhapatnam,Andhra Pradesh,,,,,
19,Vadodara,Gujarat,,,,,
20,Firozabad,Uttar Pradesh,,,,,
21,Ludhiana,Punjab,,,,,
22,Rajkot,Gujarat,,,,,
23,Agra,Uttar Pradesh,,,,,
24,Siliguri,West Bengal,,,,,
25,Nashik,Maharashtra,,,,,
26,Faridabad,Haryana,,,,,
27,Patiala,Punjab,,,,,
28,Meerut,Uttar Pradesh,,,,,
29,Kalyan-Dombivali,Maharashtra,,,,,
30,Vasai-Virar,Maharashtra,,,,,
31,Varanasi,Uttar Pradesh,,,,,
32,Srinagar,Jammu and Kashmir,,,,,
33,Dhanbad,Jharkhand,,,,,
34,Jodhpur,Rajasthan,,,,,
35,Amritsar,Punjab,,,,,
36,Raipur,Chhattisgarh,,,,,
37,Allahabad,Uttar Pradesh,,,,,
38,Coimbatore,Tamil Nadu,,,,,
39,Jabalpur,Madhya Pradesh,,,,,
40,Gwalior,Madhya Pradesh,,,,,
41,Vijayawada,Andhra Pradesh,,,,,
42,Madurai,Tamil Nadu,,,,,
43,Guwahati,Assam,,,,,
44,Chandigarh,Chandigarh,,,,,
45,Hubli-Dharwad,Karnataka,,,,,
46,Amroha,Uttar Pradesh,,,,,
47,Moradabad,Uttar Pradesh,,,,,
48,Gurgaon,Haryana,,,,,
49,Aligarh,Uttar Pradesh,,,,,
50,Solapur,Maharashtra,,,,,
51,Ranchi,Jharkhand,,,,,
52,Jalandhar,Punjab,,,,,
53,Tiruchirappalli,Tamil Nadu,,,,,
54,Bhubaneswar,Odisha,,,,,
55,Salem,Tamil Nadu,,,,,
56,Warangal,Telangana,,,,,
57,Mira-Bhayandar,Maharashtra,,,,,
58,Thiruvananthapuram,Kerala,,,,,
59,Bhiwandi,Maharashtra,,,,,
60,Saharanpur,Uttar Pradesh,,,,,
61,Guntur,Andhra Pradesh,,,,,
62,Amravati,Maharashtra,,,,,
63,Bikaner,Rajasthan,,,,,
64,Noida,Uttar Pradesh,,,,,
65,Jamshedpur,Jharkhand,,,,,
66,Bhilai Nagar,Chhattisgarh,,,,,
67,Cuttack,Odisha,,,,,
68,Kochi,Kerala,,,,,
69,Udaipur,Rajasthan,,,,,
70,Bhavnagar,Gujarat,,,,,
71,Dehradun,Uttarakhand,,,,,
72,Asansol,West Bengal,,,,,
73,Nanded-Waghala,Maharashtra,,,,,
74,Ajmer,Rajasthan,,,,,
75,Jamnagar,Gujarat,,,,,
76,Ujjain,Madhya Pradesh,,,,,
77,Sangli,Maharashtra,,,,,
78,Loni,Uttar Pradesh,,,,,
79,Jhansi,Uttar Pradesh,,,,,
80,Pondicherry,Puducherry,,,,,
81,Nellore,Andhra Pradesh,,,,,
82,Jammu,Jammu and Kashmir,,,,,
83,Belagavi,Karnataka,,,,,
84,Raurkela,Odisha,,,,,
85,Mangaluru,Karnataka,,,,,
86,Tirunelveli,Tamil Nadu,,,,,
87,Malegaon,Maharashtra,,,,,
88,Gaya,Bihar,,,,,
89,Tiruppur,Tamil Nadu,,,,,
90,Davanagere,Karnataka,,,,,
91,Kozhikode,Kerala,,,,,
92,Akola,Maharashtra,,,,,
93,Kurnool,Andhra Pradesh,,,,,
94,Bokaro Steel City,Jharkhand,,,,,
95,Rajahmundry,Andhra Pradesh,,,,,
96,Ballari,Karnataka,,,,,
97,Agartala,Tripura,,,,,
98,Bhagalpur,Bihar,,,,,
99,Latur,Maharashtra,,,,,
100,Dhule,Maharashtra,,,,,
101,Korba,Chhattisgarh,,,,,
102,Bhilwara,Rajasthan,,,,,
103,Brahmapur,Odisha,,,,,
104,Mysore,Karnatka,,,,,
105,Muzaffarpur,Bihar,,,,,
106,Ahmednagar,Maharashtra,,,,,
107,Kollam,Kerala,,,,,
108,Raghunathganj,West Bengal,,,,,
109,Bilaspur,Chhattisgarh,,,,,
110,Shahjahanpur,Uttar Pradesh,,,,,
111,Thrissur,Kerala,,,,,
112,Alwar,Rajasthan,,,,,
113,Kakinada,Andhra Pradesh,,,,,
114,Nizamabad,Telangana,,,,,
115,Sagar,Madhya Pradesh,,,,,
116,Tumkur,Karnataka,,,,,
117,Hisar,Haryana,,,,,
118,Rohtak,Haryana,,,,,
119,Panipat,Haryana,,,,,
120,Darbhanga,Bihar,,,,,
121,Kharagpur,West Bengal,,,,,
122,Aizawl,Mizoram,,,,,
123,Ichalkaranji,Maharashtra,,,,,
124,Tirupati,Andhra Pradesh,,,,,
125,Karnal,Haryana,,,,,
126,Bathinda,Punjab,,,,,
127,Rampur,Uttar Pradesh,,,,,
128,Shivamogga,Karnataka,,,,,
129,Ratlam,Madhya Pradesh,,,,,
130,Modinagar,Uttar Pradesh,,,,,
131,Durg,Chhattisgarh,,,,,
