created_at,response_deadline,published_at,title,url,Feedback Submission Email ID,ministry,summary
25/11/2017,26/1/2018,3/1/2018,Bengaluru Revised Masterplan 2031,http://www.bdabangalore.org/RMP2031.html,suggestions.rmp2031@gmail.com,Bangalore Development Authority,--
14/03/2018,14/04/2018,6/4/2018,Draft National Forest Policy,http://www.moef.nic.in/sites/default/files/Draft%20National%20Forest%20Policy%2C%202018.pdf,"digfpolicy-mef@nic.in, jitesh.kumar@nic.in, toforestpolicy@gmail.com","Ministry of Environment, Forests and Climate Change","Goals:
 
 The plan says it’s goals are to:
 
 * Have 1/3rd of India’s total land as forests
 
 * Have 2/3rd of India’s mountain lands as forests to reduce soil erosion.
 
 * It aims to increase protected areas (take a look at what a protected area is in the resources)
 
 * Not allow people to use forests for any other purpose
 
 * Plant more trees in cities and along farms
 
 * Use forest land to improve the quality of water
 
 * Manage our forests better to reduce emissions and meet India’s targets (India is a part of a few international agreements to reduce climate change, the forest policy says we will manage our forests better to reduce emissions and meet India’s targets.)
 
 * Use our forests without causing too much damage
 
 * Set guidelines that monitor and check our progress on these goals
 
 Foundations:
 
 While the plan talks about preserving the forest, it also mentions that our forests should be used more and have a higher output. Here are some of the foundations the plan is based on:
 
 * The plan says our forests will be managed to ensure that they provide products, purify the air and water quality and provide recreation, but it doesn’t say how this will happen.
 
 * It says it will manage the sale of forest produce - other than wood, to make these products more profitable for people living in the forest.
 
 * It will provide gas connections to people living in the forest, so that they don’t need to use wood.
 
 Achievement of Goals:
 
 * The plan says it will plant trees that make profits, like timber in the forests and on land that is not productive because of human damage.
 
 * It says it will partner with private companies to plant these trees and it will run campaigns like “wood is good” and “grow more wood - use more wood”, while reducing the rules that stop companies from cutting trees.
 Reduce natural and manmade threats to the forest by using technology, and survey all our plants and animals in the forests.
 
 * Launch a National Community Forest Management programme at a village level and get increased funds.
 
 * Create institutes to research and study the forests.
 
 * Study clashes between humans and animals to understand how it can stop such clashes and control strictly the trade of wild animals.
 
 * By building more zoos and nature parks that inspire people to conserve the environment."
18/08/2018,10/10/2018,1/9/2018,"Draft Personal Data Protection Bill, 2018",http://meity.gov.in/content/feedback-draft-personal-data-protection-bill,--,Ministry of Electronics and Information Technology,"Data Protection Bill: Data Usage
 
 This Bill creates a set of rules that govern how your data can be used in India.
 
 It says that data can only be used once you understand why data is being collected, what it is used for and for how long the data will be stored; and give your permission. Data can be stored and processed, in some circumstances like emergencies and for the functioning of Government - without your permission.
 
 The Bill says that data such as your passwords, biometric data, transgender status, caste, tribe or sexual orientation – are “sensitive personal data”. This data requires additional permissions from you before it can be processed. Similarly, for children’s data there are additional rules and permissions, children’s data can’t be processed in a manner that harms them.
 
 Data Protection Bill: Your Rights
 
 After the bill becomes a law, you will have a few rights over your data.
 
 You have the right to find out if your data is being processed by a platform or if it has been processed in the past.
 
 You can correct any data you have shared or complete any incomplete information the platform may have about you.
 
 You can request that your data be transferred to another service provider. Further, in a few circumstances you can make a request for your data to be forgotten and not displayed.
 
 It is the responsibility of businesses to ensure that your data is secure and that they report any breach to the authorities. The bill also provides for data audits and impact assessment of businesses to be carried out.
 
 Data Protection Bill: Authorities and Penalties
 
 One copy of all data collected and processed will need to be stored on a server inside India, further, certain types of critical data – as decided by the Government, can only be stored on servers inside India. Data can be transferred outside India only if the authorities say transfers to a certain country are allowed or if a particular transfer is necessary.
 
 The Bill will create a Data Protection Authority and an Appellate Tribunal to ensure that the Bill is followed and data isn’t misused.
 
 If the Bill is not followed and data is misused, sold, disclosed etc. penalties can be levied on the data collector. These penalties are different for every offense, but can go up to 5 crore rupees or 2% of the company’s global turnover, whichever is higher – in certain cases.
 
 Bail will not be given if you are caught for an offence under this Act, and employees of companies and Government can also be penalized for not following the Bill."
1/9/2018,17/9/2018,3/9/2018,Amendment To PAN Application Form,--,--,Ministry of Finance,"The Income Tax Department is asking you for your input on a new rule being made. This rule says that if a child of a single mother is applying for a permanent account number (or PAN Card), it is not compulsory for the child to list their father’s name on the form.
 
 Earlier, both parents’ names had to be listed, and the applicant could select whose name they would like printed on the Card – their father’s or their mother’s.
 If this rule is made, then the child of a single mother can list only their mother’s name on the PAN card application form, if they chose to."
23/9/2018,23/10/2018,15/10/2018,Draft Electricity Amendment Bill 2018,https://powermin.nic.in/sites/default/files/webform/notices/Proposed_amendment_to_Elelctricity_Act_%202003.pdf,debranjan.chattopadhyay@nic.in,Ministry of Power,"The Electricity Amendment Act 2018 aims to increase the capacity of renewable energy and provide quality electricity supply.
 
 The Act says that any subsidy granted by the Government will now be transferred straight to the bank account of the beneficiary. The Act brings in greater Government structure in the power sector and imposes strict penalties for power companies violating the rules.
 
 It encourages more than one electricity supplier in an area to supply power at competitive rates. The Act also encourages people to use renewable energy and says that there will be a national policy on renewable energy.
 
 In addition, the Act introduces internet enabled Smart meters to prevent electricity wastage and allows Authorities to revoke the licenses of power companies if power isn’t provided 24x7."
25/9/2018,25/10/2018,15/10/2018,Bengaluru Outdoor Signage and Public Messaging Policy,http://bbmp.gov.in/documents/10180/11736764/BBMP_OUTDOOR_SIGNAGE.pdf/868fe0bc-7b2b-41be-a803-ebf27394bd64,comm@bbmp.gov.in,Bruhat Bengaluru Mahanagara Palike (BBMP),"The policy calls for a ban on illegal commercial billboards and hoardings throughout Bengaluru. However, this ban does not apply to advertising and branding on skywalks, public transit stations, bus shelters and other places where the have already invested for advertising rights in advance. Additionally, construction signs, government signs, festival decorations, memorial plaques and parking lot signs are exempt.
 
 The policy aims to encourage free flow of traffic, safety and prohibit environment degradation. The city has been divided into four advertising zones where no hoardings are permitted. To display an outdoor ad, approval is needed from the BBMP, applicants must provide a valid legal license of trade, details of the manufacturer and details of the advertisement. Hoardings can't be placed if they are on public property, block fire escapes or go against existing safety regulations."
17/10/2018,17/11/2018,29/10/2018,Chandigarh: Exemption to Sikh Women from Wearing Helmets,http://chdtransport.gov.in/Forms/news/Public_Notice.pdf,ast.transport.chd@gmail.com,Chandigarh Administration,"The Chandigarh Motor Vehicle Rules, 1990 said all Sikh women need not wear helmets while riding two wheelers.
 
 But, the authority seeks to exempt only Sikh women wearing turbans and not all Sikh women from wearing helmets.
 
 The Ministry of Home Affairs has asked the authority to restore the position of the 1990 rules after receiving objections from various quarters of society.
 
 The authority is inviting your thoughts on the issue. Should exemptions be given to all Sikh women or only Sikh women wearing turbans?"
20/10/2018,20/11/2018,26/10/2018,Affordable Housing in Puducherry,https://tcpd.py.gov.in/sites/default/files/Puducherry%20Affordable%20Housing%20Policy%20final.pdf,secylad.pon@nic.in,Government of Puducherry,"The aim of the policy is to provide affordable housing for all with special emphasis on vulnerable sections of society, so that no individual remains shelter-less. The Policy encourages public private partnerships to achieve this aim.
 
 The policy wants to provide housing to citizens taking into consideration their cultural, climatic and habitat concerns. The role of the government is limited to that of a facilitator who promotes the participation of private entities.
 
 There will be four housing models of welfare, rental, rent to own and purchase, the last two models include lease based models and financing by certain financing institutions. The kinds of houses allowed could be multi-family, integrated townships, mixed land use comprising of residential, commercial, industrial and recreational areas and lastly mixed income housing or large scale housing catering to different income groups.
 
 The land for the housing facilities will be procured from government agencies, private agencies and land belonging to private agencies will be pooled for future development. The construction of the housing will be done by the owner themselves, government and private agencies and also through partnerships and co-operative societies.
 
 The policy clearly lays out modes of obtaining the capital and maintenance finance for such housing projects. NGOs and Governments will oversee the development of the projects and will address grievances of the citizens.
 
 The housing projects can be availed by end users living in Puducherry for at least five years. The policy will attempt to align the existing policies of the government with the current policy to avoid any confusion and extra-expenditure of resources. The plan will be reviewed once in three years and reset."
17/10/2018,31/12/2018,17/11/2018,Sports Broadcasting Signals (Mandatory Sharing with Prasar Bharati) (Amendment) Bill,https://mib.gov.in/sites/default/files/Noticedated17october2018onwebsite.pdf,harcharan.kaur@nic.in,Ministry of Information and Broadcasting,"The objective of the Sports Broadcasting Signals (Mandatory Sharing with Prasar Bharati) Act, 2007 (SBS Act, 2007) is to make sporting events of national importance (e.g. national cricket matches, Asian games, Commonwealth games) accessible to the largest number of viewers.
 
 The 2007 Act makes it mandatory for all private right holders (e.g. Star Sports Network, Sony Pictures Sports Network) to simultaneously share live broadcasting signals of such sporting events with Prasar Bharati, which is a public broadcasting agency. Prasar Bharati, which runs Doordarshan and All India Radio, can air the feeds that it gets from these private sports broadcasters only on its own terrestrial networks and DTH platform. Now, Section 8 of the Cable Television Networks (Regulation) Act, 1995 makes it mandatory for all cable operators to carry Doordarshan channels as notified by the government. Accordingly ‘DD National’ and ‘DD Sports’ have been notified as channels to be mandatorily carried by cable operators.
 
 A contradiction arises because according to the 2007 Act, Prasar Bharati can air the feeds only on Doordarshan’s terrestrial network and DTH platform and not on Doordarshan channels carried by cable and private DTH platforms. Therefore, viewers who have cable networks or private DTH networks can watch these events only on paid sports channels. To remedy this, the Ministry of Information and Broadcasting has proposed this amendment to Section 3(1) of the SBS Act, 2007 that will ensure that sporting events of national importance are not restricted to homes, which get Doordarshan network signals via its terrestrial or DTH networks. Homes which get Doordarshan on cable and private DTH networks would also get free access to live broadcast of these events."
6/11/2018,6/12/2018,23/11/2018,Maharashtra Green Building Policy,https://www.maharashtra.gov.in/Site/Upload/Acts%20Rules/English/Notification%20for%20Green%20Building%20Policy.pdf,neel.lalka@gmail.com,Government of Maharashtra,"The Draft Policy aims to strike a balance between urbanisation and the adverse impact on the environment by promoting sustainable construction of buildings in Maharashtra. The policy is applicable to all the upcoming residential as well as commercial buildings and will be monitored and reviewed by the Government every year. It gives incentives for both flat buyers and developers to encourage investment in green buildings.
 
 A green building is one that is energy efficient, uses less water, conserves natural resources, generates less waste and creates healthier living spaces for its occupants, in comparison to a conventional building. A green building can save water and energy between 30-50% and 20-30% respectively.
 
 Two agencies TERI-GRIHA and GBCI-LEED would rate the buildings, incentives will be given according to the building's rating.
 
 For developers, the incentives provided are in the form of tax refunds on development charges for construction of the green building. This is given when the developers secure a green building certificate
 
 For consumers, the incentive is a tax rebate on property tax for a period of 5 years - after receiving the Occupancy Certificate of a property with a Green Building certificate and rating.
 
 ***
 
 Developers can get a rebate on development charges upto 7.5% for constructing a green building and buyers can get a rebate upto 10% on property tax, depending on the rating of the building.
 
 To avail of the incentive, the developer has to share an expression of intent, and plans for the green building to an appointed agency. Thereafter, the agency will monitor the construction process to ensure it is built like a green building. Then these documents must be submitted to the concerned Municipal Corporation along with a self attested undertaking by the developer and the architects involved.
 
 On completion of the building, the authority will issue a 'Green Rating Certificate' if the construction was in accordance with the norms. In case the green rating certificate wasn't issued on completion of the project, a provisional certificate can be considered for award of incentives till a year of obtaining the occupation certificate.
 
 In case the project has a lower rating than that mentioned in the original declaration, there is a penalty of 200% along with the difference in the rebate to be paid by the builder to get the Occupation Certificate.
 
 Consumers don't need to follow any new procedure to avail the benefits of this policy."
