name,poc_email_primary,poc_email_secondary,logo,level,cover_photo
Ministry of Finance,fmo@nic.in,,369290665_Ministry-of-Finance-India-logo.png,National,4-industrialistWoman-02.png
Ministry of Electronics and Information Technology,mljoffice@gov.in,secretary@meity.gov.in,MEITY-Logo.png,National,5-IpadBo-02.png
Ministry of Housing and Urban Affairs,minister-mohua@nic.in,secyurban@nic.in,Ministry%20of%20Housing%20and%20Urban_logo.png,National,7-scootyMan-02.png
Telecom Regulatory Authority of India,cp@trai.gov.in,,Logo_TRAI.png,National,5-IpadBo-02.png
Government of Maharashtra,chiefminister@maharashtra.gov.in,chiefsecretary@maharashtra.gov.in,Government%20of%20Maharashtra.png,State,8-conversation-02.png
Ministry of Human Resource Development,minister.hrd@gov.in,pstohrm@gov.in,Ministry%20of%20Human%20Resource_Logo.jpg,National,6-schoolGirl-02.png
Gurugram Metropolitan Development Authority,ceo.gmda@gov.in,psceo.gmda@gov.in,gmda_logo_trans.png,Local,7-scootyMan-02.png
Bangalore Development Authority,chmn@bdabangalore.org,COMMISSIONER-BDA@ka.gov.in,Bangalore_Development_Authority_logo.png,Local,7-scootyMan-02.png
Village Panchayat of Soda,villagesoda@gmail.com,,Ministry%20Of%20Panchayati%20Raj.jpg,Local,3-farmer-02.png
Ministry of Agriculture and Farmers Welfare,secy-agri@gov.in,,MinistryOfAgriculture.jpg,National,3-farmer-02.png
"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",webmanager-ayush@gov.in,,MinistryOfAyush.jpg,National,2-OldLady-02.png
Ministry of Chemicals and Fertilisers,fertsec@nic.in,pald@nic.in,MinistryOfFertilisers.jpg,National,3-farmer-02.png
Ministry of Civil Aviation,hm.moca@nic.in,secy.moca@nic.in,MinistryOfCivilAviation.png,National,8-conversation-02.png
Ministry of Coal,secy.moc@nic.in,jsfa.moc@nic.in,MinistryOfCoal.jpg,National,4-industrialistWoman-02.png
Ministry of Commerce and Industry,officeofmr@gov.in,csoffice@nic.in,MinistryOfCommerce.png,National,4-industrialistWoman-02.png
Ministry of Communications,moc-office@gov.in,secy-dot@nic.in,MinistryOfCommunication.jpg,National,5-IpadBo-02.png
"Ministry of Consumer Affairs, Food and Public Distribution",Minister-ca@nic.in,Secy-ca@nic.in,MinistryOfConsumerAffairs.jpg,National,8-conversation-02.png
Ministry of Corporate Affairs,fmo@nic.in,secy.mca@nic.in,MinistryOfCorporateAffairs.jpg,National,4-industrialistWoman-02.png
Ministry of Culture,office-hcm@gov.in,,MinistryOfCulture.png,National,8-conversation-02.png
Ministry of Defence,rmo@mod.nic.in,,MinistryOfDefence.jpg,National,8-conversation-02.png
Ministry of Earth Sciences,secretary@moes.gov.in,,MinistryofEarthSciences.jpg,National,1-boyPlanting-02.png
"Ministry of Environment, Forests and Climate Change",mefcc@gov.in,secy-moef@nic.in,MinistryOfEnvironment.png,National,1-boyPlanting-02.png
Ministry of External Affairs,eam@mea.gov.in,,MinistryOfExternalAffairs.jpg,National,8-conversation-02.png
"Ministry of Fisheries, Animal Husbandry and Dairying",officeministerahdf@gmail.com,secyahd@nic.in,MinistryOfFisheries.jpg,National,3-farmer-02.png
Ministry of Food Processing Industries,minister.fpi@gov.in,secy.mofpi@nic.in,MinistryOfFoodProcessing.jpg,National,4-industrialistWoman-02.png
Ministry of Health and Family Welfare,hfwminister@gov.in,secyhfw@nic.in,MinistryOfHealth.png,National,2-OldLady-02.png
Ministry of Heavy Industries and Public Enterprises,secy-dhi@gov.in,jssl-dhi@gov.in,MinistryOfHeavyIndustries.png,National,4-industrialistWoman-02.png
Ministry of Home Affairs,hshso@nic.in,,MinistryOFHomeAffairs.jpg,National,8-conversation-02.png
Ministry of Information and Broadcasting,minister.inb@gov.in,secy.inb@nic.in,MinistryOfInformationAndBroadcasting.jpg,National,5-IpadBo-02.png
Ministry of Labour and Employment,molegangwar@yahoo.com,secy-labour@nic.in,MinistryOfLabour.png,National,7-scootyMan-02.png
Ministry of Law and Justice,secylaw-dla@nic.in,secy-jus@gov.in,MinistryOfLaw.png,National,8-conversation-02.png
"Ministry of Micro, Small and Medium Enterprises",min-msme@nic.in,secretary-msme@nic.in,MinistryofMicroSmallandMediumEnterprises.jpg,National,4-industrialistWoman-02.png
Ministry of Mines,secy-mines@nic.in,,MinistryOfMines.png,National,4-industrialistWoman-02.png
Ministry of Minority Affairs,secy-mma@nic.in,,MinistryOfMinorityAffairs.jpg,National,8-conversation-02.png
Ministry of New and Renewable Energy,raj.ksingh@gov.in,secy-mnre@nic.in,Ministry%20of%20New%20and%20Renewable%20Energy.jpg,National,4-industrialistWoman-02.png
Ministry of Panchayati Raj,min-mopr@gov.in,secy-mopr@nic.in,Ministry%20Of%20Panchayati%20Raj.jpg,National,3-farmer-02.png
Ministry of Parliamentary Affairs,joshi.pralhad@sansad.nic.in,,Ministry%20Of%20Parliamentary%20Affairs.png,National,8-conversation-02.png
"Ministry of Personnel, Public Grievances and Pensions",mos-pp@nic.in,secy_mop@nic.in,Ministry%20of%20Personnel%2C%20Public%20Grievances%20and%20Pensions.jpg,National,8-conversation-02.png
Ministry of Petroleum and Natural Gas,min.png@nic.in,sec.png@nic.in,Ministry%20of%20Petroleum%20and%20Natural%20Gas.png,National,4-industrialistWoman-02.png
Ministry of Power,secy-power@nic.in,,Ministry%20Of%20Power.png,National,4-industrialistWoman-02.png
Ministry of Railways,officeofmr@gov.in,mosr@rb.railnet.gov.in,Ministry%20of%20Railways.jpg,National,7-scootyMan-02.png
Ministry of Road Transport and Highways,wim.rth@nic.in,,Ministry%20of%20Road%20Transport%20and%20Highways.png,National,7-scootyMan-02.png
Ministry of Rural Development,secyrd@nic.in,,Ministry%20of%20Rural%20Development.png,National,3-farmer-02.png
Ministry of Science and Technology,dstsec@nic.in,,MinistryOfScience.jpg,National,5-IpadBo-02.png
Ministry of Shipping,kailash.aggarwal@gov.in,,MinistryOfShipping.png,National,4-industrialistWoman-02.png
