upper_limit,response_submitted,public_response_submitted,consultation_shared,response_used,consultation_created,commented,ministry_created,commented_on_thread,user_created
35,2.00,3.00,4.00,4.00,10.00,3.00,3.00,1.00,10
100,2.01,3.02,4.02,4.02,10.05,3.02,3.02,1.01,0
500,2.03,3.05,4.06,4.06,10.15,3.05,3.05,1.02,0
1000,2.07,3.11,4.14,4.14,10.35,3.11,3.11,1.04,0
2000,2.17,3.26,4.35,4.35,10.87,3.26,3.26,1.09,0
4000,2.39,3.59,4.78,4.78,11.96,3.59,3.59,1.20,0
8000,2.75,4.13,5.50,5.50,13.75,4.13,4.13,1.38,0
16000,3.30,4.95,6.60,6.60,16.50,4.95,4.95,1.65,0
32000,4.13,6.19,8.25,8.25,20.63,6.19,6.19,2.06,0
64000,5.36,8.04,10.73,10.73,26.82,8.04,8.04,2.68,0
128000,7.24,10.86,14.48,14.48,36.20,10.86,10.86,3.62,0
256000,10.14,15.20,20.27,20.27,50.68,15.20,15.20,5.07,0
512000,14.70,22.05,29.40,29.40,73.49,22.05,22.05,7.35,0
